benchmark,fault_model,fault_id,criterion,iteration,selected_test_count,target_score,achieved_score,triggered,detected,seed,faulty_timed_out,reference_timed_out,timeout_seconds
HumanEval+,claude-haiku-4-5,HumanEval_83_candidate_3,statement,0,2,0.8333333333333334,0.8333333333333334,True,True,100000,False,False,5.0
HumanEval+,claude-haiku-4-5,HumanEval_83_candidate_3,statement,1,2,0.8333333333333334,0.8333333333333334,True,True,100001,False,False,5.0
HumanEval+,claude-haiku-4-5,HumanEval_83_candidate_3,statement,2,2,0.8333333333333334,0.8333333333333334,True,True,100002,False,False,5.0
HumanEval+,claude-haiku-4-5,HumanEval_83_candidate_3,statement,3,2,0.8333333333333334,0.8333333333333334,True,True,100003,False,False,5.0
HumanEval+,claude-haiku-4-5,HumanEval_83_candidate_3,statement,4,2,0.8333333333333334,0.8333333333333334,True,True,100004,False,False,5.0
HumanEval+,claude-haiku-4-5,HumanEval_83_candidate_3,statement,5,2,0.8333333333333334,0.8333333333333334,True,True,100005,False,False,5.0
HumanEval+,claude-haiku-4-5,HumanEval_83_candidate_3,statement,6,2,0.8333333333333334,0.8333333333333334,True,True,100006,False,False,5.0
HumanEval+,claude-haiku-4-5,HumanEval_83_candidate_3,statement,7,2,0.8333333333333334,0.8333333333333334,True,True,100007,False,False,5.0
HumanEval+,claude-haiku-4-5,HumanEval_83_candidate_3,statement,8,2,0.8333333333333334,0.8333333333333334,True,True,100008,False,False,5.0
HumanEval+,claude-haiku-4-5,HumanEval_83_candidate_3,statement,9,2,0.8333333333333334,0.8333333333333334,True,True,100009,False,False,5.0
HumanEval+,claude-haiku-4-5,HumanEval_83_candidate_3,statement,10,2,0.8333333333333334,0.8333333333333334,True,True,100010,False,False,5.0
HumanEval+,claude-haiku-4-5,HumanEval_83_candidate_3,statement,11,2,0.8333333333333334,0.8333333333333334,True,True,100011,False,False,5.0
HumanEval+,claude-haiku-4-5,HumanEval_83_candidate_3,statement,12,2,0.8333333333333334,0.8333333333333334,True,True,100012,False,False,5.0
HumanEval+,claude-haiku-4-5,HumanEval_83_candidate_3,statement,13,2,0.8333333333333334,0.8333333333333334,True,True,100013,False,False,5.0
HumanEval+,claude-haiku-4-5,HumanEval_83_candidate_3,statement,14,2,0.8333333333333334,0.8333333333333334,True,True,100014,False,False,5.0
HumanEval+,claude-haiku-4-5,HumanEval_83_candidate_3,statement,15,2,0.8333333333333334,0.8333333333333334,True,True,100015,False,False,5.0
HumanEval+,claude-haiku-4-5,HumanEval_83_candidate_3,statement,16,2,0.8333333333333334,0.8333333333333334,True,True,100016,False,False,5.0
HumanEval+,claude-haiku-4-5,HumanEval_83_candidate_3,statement,17,2,0.8333333333333334,0.8333333333333334,True,True,100017,False,False,5.0
HumanEval+,claude-haiku-4-5,HumanEval_83_candidate_3,statement,18,2,0.8333333333333334,0.8333333333333334,True,True,100018,False,False,5.0
HumanEval+,claude-haiku-4-5,HumanEval_83_candidate_3,statement,19,2,0.8333333333333334,0.8333333333333334,True,True,100019,False,False,5.0
HumanEval+,claude-haiku-4-5,HumanEval_83_candidate_3,statement,20,2,0.8333333333333334,0.8333333333333334,True,True,100020,False,False,5.0
HumanEval+,claude-haiku-4-5,HumanEval_83_candidate_3,statement,21,2,0.8333333333333334,0.8333333333333334,True,True,100021,False,False,5.0
HumanEval+,claude-haiku-4-5,HumanEval_83_candidate_3,statement,22,2,0.8333333333333334,0.8333333333333334,True,True,100022,False,False,5.0
HumanEval+,claude-haiku-4-5,HumanEval_83_candidate_3,statement,23,2,0.8333333333333334,0.8333333333333334,True,True,100023,False,False,5.0
HumanEval+,claude-haiku-4-5,HumanEval_83_candidate_3,statement,24,2,0.8333333333333334,0.8333333333333334,True,True,100024,False,False,5.0
HumanEval+,claude-haiku-4-5,HumanEval_83_candidate_3,statement,25,2,0.8333333333333334,0.8333333333333334,True,True,100025,False,False,5.0
HumanEval+,claude-haiku-4-5,HumanEval_83_candidate_3,statement,26,2,0.8333333333333334,0.8333333333333334,True,True,100026,False,False,5.0
HumanEval+,claude-haiku-4-5,HumanEval_83_candidate_3,statement,27,2,0.8333333333333334,0.8333333333333334,True,True,100027,False,False,5.0
HumanEval+,claude-haiku-4-5,HumanEval_83_candidate_3,statement,28,2,0.8333333333333334,0.8333333333333334,True,True,100028,False,False,5.0
